name,cases,Deaths,Recovered,Tests,Population
USA,81108786.00,991260.00,55600175.00,962617214.00,334273557.00
India,42984261.00,515745.00,42426328.00,776894810.00,1402865413.00
Brazil,29249903.00,654147.00,27556598.00,63776166.00,215105573.00
France,23308880.00,139880.00,22087946.00,246629975.00,65516925.00
UK,19457976.00,162624.00,18182482.00,489082431.00,68486963.00
Russia,17242043.00,359585.00,15194927.00,273400000.00,146039921.00
Germany,16814655.00,125838.00,13153300.00,104701826.00,84235426.00
Turkey,14488373.00,96094.00,14013492.00,147556339.00,85868167.00
Italy,13268459.00,156649.00,12135331.00,191812811.00,60311992.00
Spain,11204125.00,101077.00,10254207.00,471036328.00,46785298.00
Argentina,8961595.00,127009.00,8758109.00,34692713.00,45894592.00
Iran,7117544.00,138711.00,6768271.00,48108485.00,85804173.00
Netherlands,7055814.00,21688.00,5414900.00,21107399.00,17198766.00
Colombia,6074874.00,139220.00,5905559.00,33454522.00,51796689.00
Indonesia,5864010.00,151703.00,5335846.00,88766749.00,278396962.00
S. Korea,5822626.00,9875.00,N/A,15804065.00,51343545.00
Poland,5799996.00,113307.00,5169557.00,34438732.00,37776753.00
Japan,5609096.00,25697.00,4971301.00,40655716.00,125823946.00
Mexico,5591871.00,320607.00,4880174.00,15308764.00,131215183.00
Vietnam,5260495.00,41157.00,2908365.00,80924444.00,98814340.00
Ukraine,4888473.00,106899.00,N/A,19521252.00,43290969.00
Malaysia,3741986.00,33567.00,3393999.00,51578408.00,33064640.00
Israel,3704116.00,10358.00,3641612.00,41373364.00,9326000.00
South Africa,3690291.00,99681.00,3571758.00,23314522.00,60568502.00
Czechia,3670380.00,39100.00,3554779.00,53015282.00,10742463.00
Philippines,3669523.00,57317.00,3565090.00,28479926.00,112038220.00
Belgium,3629671.00,30380.00,3333536.00,32069513.00,11674624.00
Australia,3535620.00,5551.00,3250184.00,64450382.00,25998373.00
Peru,3531075.00,211364.00,N/A,27785664.00,33745619.00
Portugal,3380263.00,21285.00,2876177.00,37805639.00,10146603.00
Canada,3350160.00,37232.00,3200818.00,58613554.00,38299759.00
Chile,3269062.00,43659.00,2424006.00,33911987.00,19392703.00
Thailand,3136649.00,23578.00,2890076.00,17270775.00,70095148.00
Austria,3071402.00,15163.00,2697610.00,165347447.00,9092997.00
